ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,SubGroup,Number
AbasoloValleMixtec,AbasoloValleMixtec,mixt1425,,mix,,17.78287,-95.54381,,Abasolo del Valle,Mixtec,1
SantaMariaAcatepecMixtec,SantaMariaAcatepecMixtec,sant1441,,mtu,,16.76337,-97.98945,,Santa María Acatepec,Mixtec,2
SanMiguelAchiutlaMixtec,SanMiguelAchiutlaMixtec,sanm1292,,xtm,,17.3065,-97.48886,,San Miguel Achiutla,Mixtec,3
SantaCatarinaAdequezMixtec,SantaCatarinaAdequezMixtec,,,,,17.43688,-97.14695,,Santa Catarina Adequez,Mixtec,4
SanMiguelAhuehuetitlanMixtec,SanMiguelAhuehuetitlanMixtec,sila1250,,mks,,17.67151,-98.32045,,San Miguel Ahuehuetitlán,Mixtec,5
AlacatlatzalaMixtec_A,AlacatlatzalaMixtec_A,alac1244,,mim,,17.25,-98.58,,Alacatlatzala,Mixtec,6
AlacatlatzalaMixtec_B,AlacatlatzalaMixtec_B,alac1244,,mim,,17.25,-98.58,,Alacatlatzala,Mixtec,7
AlacatlatzalaMixtec_C,AlacatlatzalaMixtec_C,alac1244,,mim,,17.25,-98.58,,Alacatlatzala,Mixtec,8
AlcozaucaGuerreroMixtec,AlcozaucaGuerreroMixtec,alco1235,,xta,,17.3687,-98.3969,,Alcozáuca de Guerrero,Mixtec,9
SanMiguelAmatitlanMixtec,SanMiguelAmatitlanMixtec,,,,,17.89179,-98.02529,,San Miguel Amatitlán,Mixtec,10
SantaMariaApazcoMixtec,SantaMariaApazcoMixtec,apas1235,,mip,,17.6143,-97.0657,,Santa María Apazco,Mixtec,13
SantiagoApoalaMixtec,SantiagoApoalaMixtec,apas1235,,mip,,17.6143,-97.0657,,Santiago Apoala,Mixtec,14
SanEstebanAtatlahucaMixtec_A,SanEstebanAtatlahucaMixtec_A,atat1238,,mib,,17.07133,-97.67753,,San Esteban Atatlahuca,Mixtec,16
SanEstebanAtatlahucaMixtec_B,SanEstebanAtatlahucaMixtec_B,atat1238,,mib,,17.07133,-97.67753,,San Esteban Atatlahuca,Mixtec,17
SanEstebanAtatlahucaMixtec_C,SanEstebanAtatlahucaMixtec_C,atat1238,,mib,,17.07133,-97.67753,,San Esteban Atatlahuca,Mixtec,18
SanAgustinAtenangoMixtec,SanAgustinAtenangoMixtec,,,,,17.61188,-98.01527,,San Agustín Atenango,Mixtec,19
SanPedroAtoyacMixtec,SanPedroAtoyacMixtec,,,,,16.48865,-97.9864,,San Pedro Atoyac,Mixtec,21
TepangoMixtec_A,TepangoMixtec_A,ayut1236,,miy,,16.90322,-99.08613,,Tepango,Mixtec,22
TepangoMixtec_B,TepangoMixtec_B,ayut1236,,miy,,16.90322,-99.08613,,Tepango,Mixtec,23
LaBateaMixtec,LaBateaMixtec,mixt1425,,mix,,17.35948,-97.83233,,La Batea,Mixtec,24
SantaCruzBravoMixtec,SantaCruzBravoMixtec,,,,,17.58093,-98.22383,,Santa Cruz de Bravo,Mixtec,25
SantiagoCacaloxtepecMixtec,SantiagoCacaloxtepecMixtec,caca1250,,miu,,17.7248,-97.7637,,Santiago Cacaloxtepec,Mixtec,26
CahuatacheMixtec,CahuatacheMixtec,alac1244,,mim,,17.41506,-98.53192,,Cahuatache,Mixtec,27
ChalcatongoHidalgoMixtec_A,ChalcatongoHidalgoMixtec_A,sanm1296,,mig,,17.03226,-97.57074,,Chalcatongo de Hidalgo,Mixtec,28
ChalcatongoHidalgoMixtec_B,ChalcatongoHidalgoMixtec_B,sanm1296,,mig,,17.03226,-97.57074,,Chalcatongo de Hidalgo,Mixtec,29
SanAgustinChayucoMixtec,SanAgustinChayucoMixtec,chay1249,,mih,,16.42,-97.83,,San Agustín Chayuco,Mixtec,30
SanPedroChayucoMixtec,SanPedroChayucoMixtec,,,,,17.21534,-97.99416,,San Pedro Chayuco,Mixtec,31
SantiagoChazumbaMixtec,SantiagoChazumbaMixtec,chaz1235,,xtb,,18.1541,-97.7873,,Santiago Chazumba,Mixtec,32
SanAndresChicahuaxtla1890Triqui,SanAndresChicahuaxtla1890Triqui,chic1273,,trs,,17.15612,-97.84007,,San Andrés Chicahuaxtla 1890,Triqui,33
SanMiguelChicahuaMixtec,SanMiguelChicahuaMixtec,,,,,17.63719,-97.19479,,San Miguel Chicahua,Mixtec,34
SanAndresChicahuaxtlaTriqui_A,SanAndresChicahuaxtlaTriqui_A,chic1273,,trs,,17.15612,-97.84007,,San Andrés Chicahuaxtla,Triqui,35
SanAndresChicahuaxtlaTriqui_B,SanAndresChicahuaxtlaTriqui_B,chic1273,,trs,,17.15612,-97.84007,,San Andrés Chicahuaxtla,Triqui,36
SantaMariaChigmecatitlanMixtec,SantaMariaChigmecatitlanMixtec,chig1239,,mii,,18.6303,-98.1046,,Santa María Chigmecatitlán,Mixtec,37
