ID	Number	Name	Location	SubGroup	Latitude	Longitude	Glottocode	ISO639P3code
AbasoloValleMixtec	1	AbasoloValleMixtec	Abasolo del Valle	Mixtec	17.78287	-95.54381	mixt1425	mix
SantaMariaAcatepecMixtec	2	SantaMariaAcatepecMixtec	Santa María Acatepec	Mixtec	16.76337	-97.98945	sant1441	mtu
SanMiguelAchiutlaMixtec	3	SanMiguelAchiutlaMixtec	San Miguel Achiutla	Mixtec	17.3065	-97.48886	sanm1292	xtm
SantaCatarinaAdequezMixtec	4	SantaCatarinaAdequezMixtec	Santa Catarina Adequez	Mixtec	17.43688	-97.14695		
SanMiguelAhuehuetitlanMixtec	5	SanMiguelAhuehuetitlanMixtec	San Miguel Ahuehuetitlán	Mixtec	17.67151	-98.32045	sila1250	mks
AlacatlatzalaMixtec_A	6	AlacatlatzalaMixtec_A	Alacatlatzala	Mixtec	17.25	-98.58	alac1244	mim
AlacatlatzalaMixtec_B	7	AlacatlatzalaMixtec_B	Alacatlatzala	Mixtec	17.25	-98.58	alac1244	mim
AlacatlatzalaMixtec_C	8	AlacatlatzalaMixtec_C	Alacatlatzala	Mixtec	17.25	-98.58	alac1244	mim
AlcozaucaGuerreroMixtec	9	AlcozaucaGuerreroMixtec	Alcozáuca de Guerrero	Mixtec	17.3687	-98.3969	alco1235	xta
SanMiguelAmatitlanMixtec	10	SanMiguelAmatitlanMixtec	San Miguel Amatitlán	Mixtec	17.89179	-98.02529		
SantiagoAmoltepecMixtec	11	SantiagoAmoltepecMixtec	Santiago Amoltepec	Mixtec	16.6521	-97.4518	amol1236	mbz
SanCristobalAmoltepecMixtec	12	SanCristobalAmoltepecMixtec	San Cristóbal Amoltepec	Mixtec	17.28458	-97.5706	sanc1244	xtm
SantaMariaApazcoMixtec	13	SantaMariaApazcoMixtec	Santa María Apazco	Mixtec	17.6143	-97.0657	apas1235	mip
SantiagoApoalaMixtec	14	SantiagoApoalaMixtec	Santiago Apoala	Mixtec	17.6143	-97.0657	apas1235	mip
SantaMariaAsuncionMixtec	15	SantaMariaAsuncionMixtec	Santa María Asunción	Mixtec	17.2435	-98.0001		
SanEstebanAtatlahucaMixtec_A	16	SanEstebanAtatlahucaMixtec_A	San Esteban Atatlahuca	Mixtec	17.07133	-97.67753	atat1238	mib
SanEstebanAtatlahucaMixtec_B	17	SanEstebanAtatlahucaMixtec_B	San Esteban Atatlahuca	Mixtec	17.07133	-97.67753	atat1238	mib
SanEstebanAtatlahucaMixtec_C	18	SanEstebanAtatlahucaMixtec_C	San Esteban Atatlahuca	Mixtec	17.07133	-97.67753	atat1238	mib
SanAgustinAtenangoMixtec	19	SanAgustinAtenangoMixtec	San Agustín Atenango	Mixtec	17.61188	-98.01527		
AtlamajalcingoMonteMixtec	20	AtlamajalcingoMonteMixtec	Atlamajalcingo del Monte	Mixtec	17.31173	-98.60758	atla1271	mim
SanPedroAtoyacMixtec	21	SanPedroAtoyacMixtec	San Pedro Atoyac	Mixtec	16.48865	-97.9864		
TepangoMixtec_A	22	TepangoMixtec_A	Tepango	Mixtec	16.90322	-99.08613	ayut1236	miy
TepangoMixtec_B	23	TepangoMixtec_B	Tepango	Mixtec	16.90322	-99.08613	ayut1236	miy
LaBateaMixtec	24	LaBateaMixtec	La Batea	Mixtec	17.35948	-97.83233	mixt1425	mix
SantaCruzBravoMixtec	25	SantaCruzBravoMixtec	Santa Cruz de Bravo	Mixtec	17.58093	-98.22383		
SantiagoCacaloxtepecMixtec	26	SantiagoCacaloxtepecMixtec	Santiago Cacaloxtepec	Mixtec	17.7248	-97.7637	caca1250	miu
CahuatacheMixtec	27	CahuatacheMixtec	Cahuatache	Mixtec	17.41506	-98.53192	alac1244	mim
ChalcatongoHidalgoMixtec_A	28	ChalcatongoHidalgoMixtec_A	Chalcatongo de Hidalgo	Mixtec	17.03226	-97.57074	sanm1296	mig
ChalcatongoHidalgoMixtec_B	29	ChalcatongoHidalgoMixtec_B	Chalcatongo de Hidalgo	Mixtec	17.03226	-97.57074	sanm1296	mig
SanAgustinChayucoMixtec	30	SanAgustinChayucoMixtec	San Agustín Chayuco	Mixtec	16.42	-97.83	chay1249	mih
SanPedroChayucoMixtec	31	SanPedroChayucoMixtec	San Pedro Chayuco	Mixtec	17.21534	-97.99416		
SantiagoChazumbaMixtec	32	SantiagoChazumbaMixtec	Santiago Chazumba	Mixtec	18.1541	-97.7873	chaz1235	xtb
SanAndresChicahuaxtla1890Triqui	33	SanAndresChicahuaxtla1890Triqui	San Andrés Chicahuaxtla 1890	Triqui	17.15612	-97.84007	chic1273	trs
