Grapheme	IPA	Frequency
^k	k	26
ī	i ³	6
t	t	23
ì$	i ¹	6
i	i	34
i$	i	27
^đ	ð	16
đ	ð	10
^ⁿd	ⁿd	15
ū	u ³	6
č	tʃ	12
ī$	i ³	5
^ⁿdʸ	ⁿdʲ	1
u	u	5
^š	ʃ	6
o$	o	8
^ñ	ɲ	8
i̧	ĩ	9
m	m	9
a̧$	ã	8
^t	t	20
ì	i ¹	8
š	ʃ	7
a	a	32
ʔ	ʔ	36
n	n	14
u̧$	ũ	7
-	+	27
l	l	4
ā	a ³	4
à$	a ¹	8
a$	a	24
^o	o	3
w	β	4
^kʷ	kʷ	6
^n	n	10
i̧$	ĩ	19
o̧	õ	9
o̧$	õ	11
^s	s	7
ñ	ɲ	5
ī̧$	ĩ ³	1
a̧	ã	11
ü	ʉ	14
ü$	ʉ	9
è	e ¹	1
ē$	e ³	2
e	e	13
e$	e	10
à̧$	ã ¹	1
k	k	16
r	ɾ	3
^ƀ	β	8
ù	u ¹	5
^ž	ʒ	23
s	s	7
^i	i	3
à	a ¹	11
kʷ	kʷ	3
ì̧	ĩ ¹	1
ā̧$	ã ³	1
ò	o ¹	5
ō$	o ³	1
^l	l	4
o	o	11
ƀ	β	6
^o̧	õ	3
u̧	ũ	2
u$	u	1
^č	tʃ	8
í̧	ĩ ⁵	1
ì̧$	ĩ ¹	4
ó̧	õ ⁵	1
ò̧$	õ ¹	4
ž	ʒ	3
ā$	a ³	3
ỹ	j̃	1
ⁿd	ⁿd	2
^m	m	2
I$	i̥	1
í	i ⁵	1
ò$	o ¹	5
ò̧	õ ¹	3
^i̧	ĩ	3
ē	e ³	2
^w	w	2
á	a ⁵	2
ù$	u ¹	4
ō̧$	õ ³	3
$	NULL	4
i̭	j	1
^ì̧	ĩ ¹	1
^ī̧ī̧$	ĩ ³ ĩ ³	1
^y	j	1
ȩ	ẽ	1
á$	a ⁵	1
ō	o ³	1
^ü	ʉ	3
ū$	u ³	1
^a	a	2
d	d	1
y	j	1
ō̧	õ ³	2
ú	u ⁵	1
í$	i ⁵	1
à̧	ã ¹	1
á̧$	ã ⁵	1
