Grapheme	IPA	Frequency
^k	k	11
ɨ̄	ɨ ³	11
t	t	11
ɨ̄$	ɨ ³	4
^sh	ʃ	7
ī	i ³	9
sh	ʃ	5
ī$	i ³	8
^x	x	4
ā	a ³	21
a$	a ¹	18
^nd	ⁿd	12
k	k	8
ā$	a ³	15
ō	o ³	4
h	ʔ	29
o$	o ¹	6
ū	u ³	12
ch	tʃ	6
^ñ	ɲ	8
u	u ¹	9
m	m	6
^ch	tʃ	6
i	i ¹	3
i$	i ¹	7
^n	n	7
á	a ⁵	10
n	n	21
ū$	u ³	13
^	NULL	2
Nn	ʰn	7
^Nn	ʰn	
ú	u ⁵	5
ú$	u ⁵	5
^kw	kʷ	10
a	a ¹	11
^y	j	13
uun$	ũ ¹ ũ ¹	1
^s	s	8
ē	e ³	3
ē$	e ³	2
^v	β	7
x	x	4
in$	ĩ	1
ɨ	ɨ ¹	2
s	s	5
ɨ$	ɨ ¹	5
^ī	i ³	9
v	β	3
u$	u ¹	15
o	o ¹	2
ɨ̃	ɨ̃ ¹	1
^ū	u ³	6
an$	ã ¹	1
^t	t	6
^p	p	1
p	p	1
á$	a ⁵	5
y	j	4
un$	ũ ¹	3
ūun$	ũ ³ ũ ¹	1
īn$	ĩ ¹	1
ɨ́	ɨ ⁵	2
ɨ́$	ɨ ⁵	1
e	e ¹	1
e$	e ¹	1
ñ	ɲ	5
ō$	o ³	4
^l	l	2
kw	kʷ	1
^ɨ̄	ɨ ³	2
n$	n	3
īīn$	ĩ ³ ĩ ³	1
^i	i ¹	1
í	i ⁵	2
Ññ	ʰɲ	1
-	+	2
shy	ʃʲ	1
^r	ɾ	1
é	e ⁵	1
é$	e ⁵	1
í$	i ⁵	1
l	l	1
^ō	o ³	1
ín$	ĩ ⁵	1
án$	ã ⁵	1
ɨ̄n$	ɨ̃ ³	
ɨn$	ĩ ¹	
